model,quote_index,expiry,strike,log_moneyness,moneyness_bucket,is_call,sample,is_held_out,target_iv,target_price,heston_price,heston_iv,heston_price_residual,heston_iv_residual_bps,local_vol_pde_price,local_vol_pde_iv,local_vol_pde_price_residual,local_vol_pde_iv_residual_bps,pde_runtime_ms,pde_status,pde_error,Nx,Nt,surface_source
Direct local-vol PDE,1,0.25,88.91405117464481,-0.12000000000000004,downside_wing,True,held_out,True,0.19613370849816233,11.771585602461831,11.790646279897931,0.198269523993287,0.019060677436099738,21.358154951246767,11.770675597145688,0.19603087347224354,-0.0009100053161432697,-1.0283502591879046,263.5417999699712,ok,,81,121,essvi_smoothed_projection
Direct local-vol PDE,3,0.25,100.25031276057952,0.0,atm,True,train,False,0.17737313962882853,3.5280918137839037,3.5202674707754307,0.17697951743027943,-0.007824343008473011,-3.9362219854910396,3.5265417336428317,0.17729515902151782,-0.0015500801410719411,-0.77980607310707,262.2646000236273,ok,,81,121,essvi_smoothed_projection
Direct local-vol PDE,5,0.25,113.03191200740112,0.12000000000000005,upside_wing,True,train,False,0.1682015254071609,0.3075929103093684,0.3123634424488932,0.16882463414404325,0.004770532139524775,6.23108736882344,0.31086175047495196,0.16862899164737727,0.003268840165583542,4.274662402163621,273.4767999500036,ok,,81,121,essvi_smoothed_projection
Direct local-vol PDE,15,1.0,89.5834135296528,-0.12000000000000004,downside_wing,True,train,False,0.20581573642514267,14.51305592379602,14.5043560267503,0.20553698390204742,-0.008699897045721272,-2.787525230952548,14.508715951590844,0.20567669538946895,-0.004339972205176679,-1.390410356737204,604.5297998934984,ok,,81,121,essvi_smoothed_projection
Direct local-vol PDE,17,1.0,101.00501670841679,0.0,atm,True,held_out,True,0.1910304008338593,7.533723096896349,7.569243052229568,0.19193383339945225,0.0355199553332195,9.034325655929432,7.503693016199395,0.19026663093943033,-0.03003008069695401,-7.637698944289728,567.7544001955539,ok,,81,121,essvi_smoothed_projection
Direct local-vol PDE,19,1.0,113.88283833246217,0.12000000000000005,upside_wing,True,train,False,0.18535715022255939,3.033496684556554,2.986431678536904,0.18396519633776182,-0.047065006019650024,-13.919538847975698,3.008617107915521,0.18462187444909658,-0.02487957664103302,-7.352757734628012,570.2329000923783,ok,,81,121,essvi_smoothed_projection
Direct local-vol PDE,29,2.0,90.48374180359595,-0.12000000000000004,downside_wing,True,train,False,0.21292863389899372,17.46928543987148,17.53371717886304,0.21428269560872182,0.06443173899155852,13.540617097280993,17.458704045487075,0.21270614979731828,-0.010581394384406195,-2.2248410167544086,862.4406000599265,ok,,81,121,essvi_smoothed_projection
Direct local-vol PDE,31,2.0,102.02013400267558,0.0,atm,True,train,False,0.20143095441544198,11.10194142717464,11.315252520169913,0.20532826808863608,0.21331109299527284,38.97313673194097,11.057824006578024,0.20062509617617813,-0.04411742059661705,-8.058582392638513,748.3464998658746,ok,,81,121,essvi_smoothed_projection
Direct local-vol PDE,33,2.0,115.02737988572272,0.12000000000000005,upside_wing,True,held_out,True,0.1986329706062345,6.436492391072923,6.446744021805654,0.19882611046920273,0.010251630732731165,1.9313986296823349,6.395109848137555,0.1978530150245375,-0.04138254293536825,-7.799555816969949,661.3528998568654,ok,,81,121,essvi_smoothed_projection
