scheme,n_steps,dt,mean_price,mean_signed_error,mean_abs_error,rmse,mean_stderr,mean_ci_half_width,coverage_rate,repeat_count,mean_runtime_seconds,median_runtime_seconds,mean_runtime_per_path,mean_abs_error_runtime,rmse_runtime,mean_stderr_runtime,error_per_second,repeat_count_runtime
euler_full_truncation,4,0.5,17.297586264695138,6.824983318373021,6.824983318373021,6.826214000389525,0.3147787345386399,0.6169549827948284,0.0,3,0.0014452332785973947,0.0014239998999983072,3.5284015590756706e-07,6.824983318373021,6.826214000389525,0.3147787345386399,4722.40946803875,3
euler_full_truncation,8,0.25,16.715692543007737,6.243089596685615,6.243089596685615,6.243566111124233,0.27534175491524854,0.5396599230739413,0.0,3,0.0018774000151703756,0.0019042999483644962,4.58349613078705e-07,6.243089596685615,6.243566111124233,0.27534175491524854,3325.3912571845003,3
euler_full_truncation,16,0.125,15.836961498732506,5.364358552410388,5.364358552410388,5.364601768535285,0.23697844349902888,0.4644692143704567,0.0,3,0.003572000035395225,0.003549400018528104,8.720703211414124e-07,5.364358552410388,5.364601768535285,0.23697844349902888,1501.780094976076,3
euler_full_truncation,32,0.0625,15.109611247347607,4.637008301025486,4.637008301025486,4.638200652905587,0.2114551785517413,0.4144445343058994,0.0,3,0.0060809334584822254,0.00592840020544827,1.484602895137262e-06,4.637008301025486,4.638200652905587,0.2114551785517413,762.5487653638728,3
euler_full_truncation,64,0.03125,14.514536672727928,4.041933726405809,4.041933726405809,4.042843570002202,0.19709450467421485,0.38629813071222235,0.0,3,0.01112773323742052,0.011067899875342846,2.716731747417119e-06,4.041933726405809,4.042843570002202,0.19709450467421485,363.23064546636766,3
quadratic_exponential,4,0.5,10.25113744347763,-0.22146550284449043,0.22146550284449043,0.2327632053373966,0.10032850461212667,0.19664025566252893,0.3333333333333333,3,0.0036829333597173295,0.0036278001498430967,8.991536522747386e-07,0.22146550284449043,0.2327632053373966,0.10032850461212667,60.13291070286654,3
quadratic_exponential,8,0.25,10.43746904391513,-0.03513390240699069,0.03577930130229549,0.046312880506744966,0.10764332401508081,0.2109770382457338,1.0,3,0.006704166686783235,0.0065305999014526606,1.6367594450154381e-06,0.03577930130229549,0.046312880506744966,0.10764332401508081,5.336875255925799,3
quadratic_exponential,16,0.125,10.439096972677497,-0.0335059736446226,0.14802911754171197,0.17354743429438196,0.11287209443359732,0.22122523994945462,0.6666666666666666,3,0.01416916671829919,0.014147400157526135,3.459269218334763e-06,0.14802911754171197,0.17354743429438196,0.11287209443359732,10.447270505366797,3
quadratic_exponential,32,0.0625,10.402089665457453,-0.07051328086466609,0.07051328086466609,0.10069778559814895,0.1168577814530218,0.2290370429611754,1.0,3,0.03188999990622202,0.031042200047522783,7.785644508354986e-06,0.07051328086466609,0.10069778559814895,0.1168577814530218,2.211140830104183,3
quadratic_exponential,64,0.03125,10.461982191965177,-0.010620754356941356,0.03906789300228416,0.047722900148454324,0.11491500954401294,0.22522927998934186,1.0,3,0.0666565999854356,0.06511560012586415,1.627358398081924e-05,0.03906789300228416,0.047722900148454324,0.11491500954401294,0.5861068973037996,3
